Title,Price,Unit Price
파머스픽 당도선별감귤2.7kg/박스,12980,(100g당 481원)
국산의 힘]장희딸기500g/팩,15980,"(100g당 3,196원)"
(스테비아)대추방울토마토500g,9980,"(100g당 1,996원)"
애플토마토(600g/팩),5980,(100g당 997원)
네추럴 엔비사과 3kg/봉,11980,(100g당 399원)
시나노골드사과 4~7입/봉,8980,"(1개당 8,980원)"
못난이 설향 500g/팩,10980,"(100g당 2,196원)"
대추방울토마토(600g/팩),7980,"(100g당 1,330원)"
냉동망고1kg/봉,13980,"(100g당 1,398원)"
샤인머스켓(1.5kg박스)2~3송이,13980,(100g당 932원)
대용량 황금향 1.4kg/봉,8980,(100g당 641원)
완숙토마토 (6~8입/팩),7980,"(1팩당 7,980원)"
상주곶감(20입/팩),10980,"(1팩당 10,980원)"
(BL)감홍사과 4입/팩,13980,"(1EA당 13,980원)"
고산지사과(4~7입/봉),11980,"(1봉당 11,980원)"
고구마믹스칩80g,4980,"(100g당 6,225원)"
줄단감(5입/봉/대),4980,"(1봉당 4,980원)"
생블루베리(310g/팩),11980,"(100g당 3,865원)"
영암대봉시(4입/팩),7980,"(1팩당 7,980원)"
칠레산체리300g,7980,"(100g당 2,660원)"
베지믹스칩80g,4980,"(100g당 6,225원)"
제주 골드키위(팩),13980,"(1팩당 13,980원)"
청도반시(8~12입)/팩,9980,"(1팩당 9,980원)"
알알이 한입샤인(600g/팩),5980,(100g당 997원)
국산의 힘]금실딸기(500g/팩),21980,"(100g당 4,396원)"
토마주르토마토750g,9980,"(100g당 1,331원)"
(JN)유기농냉동아보카도400g,12980,"(100g당 3,245원)"
CJ 비비고 플랜테이블김치왕교자385g,3480,(100g당 904원)
스위티오파인애플(통),4980,"(1개당 4,980원)"
냉동블루베리1kg/봉,16980,"(100g당 1,698원)"
파머스픽 신고배 2입/봉 1.2kg,16980,"(100g당 1,415원)"
레몬(3입/팩),5980,"(1팩당 5,980원)"
(JN)dole유기농바나나(500~600g/팩),4300,(100g당 860원)
미니 감귤(800g/팩),5980,(100g당 748원)
