시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,77.0,생수 500ml 1병,,700.0,2024-11,,전통시장,용산구,2024,11,음료
용문시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,용산구,2024,11,음료
용문시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,용산구,2024,11,음료
용문시장,79.0,사이다 1.5L 1병,,2900.0,2024-11,,전통시장,용산구,2024,11,음료
장미원골목시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,강북구,2024,11,음료
장미원골목시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,강북구,2024,11,음료
장미원골목시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,강북구,2024,11,음료
장미원골목시장,79.0,사이다 1.5L 1병,,2800.0,2024-11,,전통시장,강북구,2024,11,음료
미성동도깨비시장,77.0,생수 500ml 1병,,690.0,2024-11,,전통시장,관악구,2024,11,음료
미성동도깨비시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,관악구,2024,11,음료
미성동도깨비시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,관악구,2024,11,음료
미성동도깨비시장,79.0,사이다 1.5L 1병,,2890.0,2024-11,,전통시장,관악구,2024,11,음료
연서시장,77.0,생수 500ml 1병,,550.0,2024-11,,전통시장,은평구,2024,11,음료
연서시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,은평구,2024,11,음료
연서시장,76.0,맥주 500ml 1캔,,2200.0,2024-11,,전통시장,은평구,2024,11,음료
연서시장,79.0,사이다 1.5L 1병,,2950.0,2024-11,,전통시장,은평구,2024,11,음료
창신골목시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,종로구,2024,11,음료
창신골목시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,종로구,2024,11,음료
창신골목시장,76.0,맥주 500ml 1캔,,2200.0,2024-11,,전통시장,종로구,2024,11,음료
창신골목시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,종로구,2024,11,음료
남구로시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,구로구,2024,11,음료
남구로시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,구로구,2024,11,음료
남구로시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,구로구,2024,11,음료
남구로시장,79.0,사이다 1.5L 1병,,2950.0,2024-11,,전통시장,구로구,2024,11,음료
목사랑시장(목4동시장),77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,양천구,2024,11,음료
목사랑시장(목4동시장),75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,양천구,2024,11,음료
목사랑시장(목4동시장),76.0,맥주 500ml 1캔,,2200.0,2024-11,,전통시장,양천구,2024,11,음료
목사랑시장(목4동시장),79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,양천구,2024,11,음료
,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,성동구,2024,11,음료
,79.0,사이다 1.5L 1병,,2950.0,2024-11,,전통시장,성동구,2024,11,음료
,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,성동구,2024,11,음료
,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,성동구,2024,11,음료
송화(벽화)시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,강서구,2024,11,음료
송화(벽화)시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,강서구,2024,11,음료
송화(벽화)시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,강서구,2024,11,음료
송화(벽화)시장,79.0,사이다 1.5L 1병,,3150.0,2024-11,,전통시장,강서구,2024,11,음료
강남개포시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,강남구,2024,11,음료
강남개포시장,75.0,"소주 360ml, 1병",,1650.0,2024-11,,전통시장,강남구,2024,11,음료
강남개포시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강남구,2024,11,음료
강남개포시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,강남구,2024,11,음료
사가정시장,82.0,생수 500ml 1병,,6750.0,2024-11,,전통시장,중랑구,2024,11,음료
사가정시장,84.0,"소주 360ml, 1병",,8900.0,2024-11,,전통시장,중랑구,2024,11,음료
신원시장(신림1동),77.0,생수 500ml 1병,,580.0,2024-11,,전통시장,관악구,2024,11,음료
신원시장(신림1동),75.0,"소주 360ml, 1병",,1480.0,2024-11,,전통시장,관악구,2024,11,음료
신원시장(신림1동),76.0,맥주 500ml 1캔,,2280.0,2024-11,,전통시장,관악구,2024,11,음료
신원시장(신림1동),79.0,사이다 1.5L 1병,,2680.0,2024-11,,전통시장,관악구,2024,11,음료
백년시장,77.0,생수 500ml 1병,,550.0,2024-11,,전통시장,강북구,2024,11,음료
백년시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,강북구,2024,11,음료
백년시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,강북구,2024,11,음료
백년시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,강북구,2024,11,음료
솔샘시장,77.0,생수 500ml 1병,,590.0,2024-11,,전통시장,강북구,2024,11,음료
솔샘시장,75.0,"소주 360ml, 1병",,1490.0,2024-11,,전통시장,강북구,2024,11,음료
솔샘시장,76.0,맥주 500ml 1캔,,2350.0,2024-11,,전통시장,강북구,2024,11,음료
솔샘시장,79.0,사이다 1.5L 1병,,2990.0,2024-11,,전통시장,강북구,2024,11,음료
영동전통시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,강남구,2024,11,음료
영동전통시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,강남구,2024,11,음료
영동전통시장,76.0,맥주 500ml 1캔,,2980.0,2024-11,,전통시장,강남구,2024,11,음료
영동전통시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,강남구,2024,11,음료
백련시장,77.0,생수 500ml 1병,,700.0,2024-11,,전통시장,서대문구,2024,11,음료
백련시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,서대문구,2024,11,음료
백련시장,76.0,맥주 500ml 1캔,,2200.0,2024-11,,전통시장,서대문구,2024,11,음료
백련시장,79.0,사이다 1.5L 1병,,2650.0,2024-11,,전통시장,서대문구,2024,11,음료
영일시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,영등포구,2024,11,음료
영일시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,영등포구,2024,11,음료
영일시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,영등포구,2024,11,음료
영일시장,79.0,사이다 1.5L 1병,,2850.0,2024-11,,전통시장,영등포구,2024,11,음료
대림중앙시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,영등포구,2024,11,음료
대림중앙시장,75.0,"소주 360ml, 1병",,1580.0,2024-11,,전통시장,영등포구,2024,11,음료
대림중앙시장,76.0,맥주 500ml 1캔,,2280.0,2024-11,,전통시장,영등포구,2024,11,음료
대림중앙시장,79.0,사이다 1.5L 1병,,3100.0,2024-11,,전통시장,영등포구,2024,11,음료
청담삼익시장,77.0,생수 500ml 1병,,700.0,2024-11,,전통시장,강남구,2024,11,음료
청담삼익시장,75.0,"소주 360ml, 1병",,1750.0,2024-11,,전통시장,강남구,2024,11,음료
청담삼익시장,76.0,맥주 500ml 1캔,,2650.0,2024-11,,전통시장,강남구,2024,11,음료
청담삼익시장,79.0,사이다 1.5L 1병,,3400.0,2024-11,,전통시장,강남구,2024,11,음료
대림시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,은평구,2024,11,음료
대림시장,75.0,"소주 360ml, 1병",,1380.0,2024-11,,전통시장,은평구,2024,11,음료
대림시장,76.0,맥주 500ml 1캔,,2250.0,2024-11,,전통시장,은평구,2024,11,음료
대림시장,79.0,사이다 1.5L 1병,,2980.0,2024-11,,전통시장,은평구,2024,11,음료
대신시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,영등포구,2024,11,음료
대신시장,75.0,"소주 360ml, 1병",,1450.0,2024-11,,전통시장,영등포구,2024,11,음료
대신시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,영등포구,2024,11,음료
대신시장,79.0,사이다 1.5L 1병,,3180.0,2024-11,,전통시장,영등포구,2024,11,음료
망원시장,77.0,생수 500ml 1병,,500.0,2024-11,,전통시장,마포구,2024,11,음료
망원시장,75.0,"소주 360ml, 1병",,1500.0,2024-11,,전통시장,마포구,2024,11,음료
망원시장,76.0,맥주 500ml 1캔,,1750.0,2024-11,,전통시장,마포구,2024,11,음료
망원시장,79.0,사이다 1.5L 1병,,2750.0,2024-11,,전통시장,마포구,2024,11,음료
자양골목시장,77.0,생수 500ml 1병,,480.0,2024-11,,전통시장,광진구,2024,11,음료
자양골목시장,75.0,"소주 360ml, 1병",,1380.0,2024-11,,전통시장,광진구,2024,11,음료
자양골목시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,광진구,2024,11,음료
자양골목시장,79.0,사이다 1.5L 1병,,2750.0,2024-11,,전통시장,광진구,2024,11,음료
노룬산골목시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,광진구,2024,11,음료
노룬산골목시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,광진구,2024,11,음료
노룬산골목시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,광진구,2024,11,음료
노룬산골목시장,79.0,사이다 1.5L 1병,,2940.0,2024-11,,전통시장,광진구,2024,11,음료
인왕시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,서대문구,2024,11,음료
인왕시장,75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,서대문구,2024,11,음료
인왕시장,76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,서대문구,2024,11,음료
인왕시장,79.0,사이다 1.5L 1병,,2650.0,2024-11,,전통시장,서대문구,2024,11,음료
관악신사시장(신림4동),77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),76.0,맥주 500ml 1캔,,2250.0,2024-11,,전통시장,관악구,2024,11,음료
관악신사시장(신림4동),79.0,사이다 1.5L 1병,,2700.0,2024-11,,전통시장,관악구,2024,11,음료
포방터시장,77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,75.0,"소주 360ml, 1병",,1600.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,76.0,맥주 500ml 1캔,,2400.0,2024-11,,전통시장,서대문구,2024,11,음료
포방터시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,서대문구,2024,11,음료
목동깨비시장(목3동시장),77.0,생수 500ml 1병,,600.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),75.0,"소주 360ml, 1병",,1550.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),76.0,맥주 500ml 1캔,,2300.0,2024-11,,전통시장,양천구,2024,11,음료
목동깨비시장(목3동시장),79.0,사이다 1.5L 1병,,2950.0,2024-11,,전통시장,양천구,2024,11,음료
동원시장,77.0,생수 500ml 1병,,500.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,75.0,"소주 360ml, 1병",,1800.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,76.0,맥주 500ml 1캔,,2500.0,2024-11,,전통시장,중랑구,2024,11,음료
동원시장,79.0,사이다 1.5L 1병,,3000.0,2024-11,,전통시장,중랑구,2024,11,음료
공릉동 도깨비시장,77.0,생수 500ml 1병,,650.0,2024-11,,전통시장,노원구,2024,11,음료
공릉동 도깨비시장,75.0,"소주 360ml, 1병",,1540.0,2024-11,,전통시장,노원구,2024,11,음료
