시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,용산구,2024,11,유제품
장미원골목시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강북구,2024,11,유제품
미성동도깨비시장,74.0,우유 1L,,3180.0,2024-11,,전통시장,관악구,2024,11,유제품
연서시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,은평구,2024,11,유제품
창신골목시장,74.0,우유 1L,,3300.0,2024-11,,전통시장,종로구,2024,11,유제품
남구로시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,구로구,2024,11,유제품
목사랑시장(목4동시장),74.0,우유 1L,,3280.0,2024-11,,전통시장,양천구,2024,11,유제품
,74.0,우유 1L,,3350.0,2024-11,,전통시장,성동구,2024,11,유제품
송화(벽화)시장,74.0,우유 1L,,3180.0,2024-11,,전통시장,강서구,2024,11,유제품
강남개포시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강남구,2024,11,유제품
사가정시장,83.0,우유 1L,,12500.0,2024-11,,전통시장,중랑구,2024,11,유제품
신원시장(신림1동),74.0,우유 1L,,3200.0,2024-11,,전통시장,관악구,2024,11,유제품
백년시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강북구,2024,11,유제품
솔샘시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강북구,2024,11,유제품
영동전통시장,74.0,우유 1L,,3450.0,2024-11,,전통시장,강남구,2024,11,유제품
백련시장,74.0,우유 1L,,3300.0,2024-11,,전통시장,서대문구,2024,11,유제품
영일시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,영등포구,2024,11,유제품
대림중앙시장,74.0,우유 1L,,3450.0,2024-11,,전통시장,영등포구,2024,11,유제품
청담삼익시장,74.0,우유 1L,,3300.0,2024-11,,전통시장,강남구,2024,11,유제품
대림시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,은평구,2024,11,유제품
대신시장,74.0,우유 1L,,3100.0,2024-11,,전통시장,영등포구,2024,11,유제품
망원시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,마포구,2024,11,유제품
자양골목시장,74.0,우유 1L,,2960.0,2024-11,,전통시장,광진구,2024,11,유제품
노룬산골목시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,광진구,2024,11,유제품
인왕시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,서대문구,2024,11,유제품
관악신사시장(신림4동),74.0,우유 1L,,3300.0,2024-11,,전통시장,관악구,2024,11,유제품
포방터시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,서대문구,2024,11,유제품
목동깨비시장(목3동시장),74.0,우유 1L,,3300.0,2024-11,,전통시장,양천구,2024,11,유제품
동원시장,74.0,우유 1L,,3500.0,2024-11,,전통시장,중랑구,2024,11,유제품
공릉동 도깨비시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,노원구,2024,11,유제품
장위전통시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,성북구,2024,11,유제품
신영시장,74.0,우유 1L,,3180.0,2024-11,,전통시장,양천구,2024,11,유제품
비단길현대시장,74.0,우유 1L,,3000.0,2024-11,,전통시장,금천구,2024,11,유제품
숭인시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강북구,2024,11,유제품
상계중앙시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,노원구,2024,11,유제품
고분다리전통시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,강동구,2024,11,유제품
신창시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,도봉구,2024,11,유제품
신림중앙시장,74.0,우유 1L,,3250.0,2024-11,,전통시장,관악구,2024,11,유제품
관악중부시장,74.0,우유 1L,,3200.0,2024-11,,전통시장,관악구,2024,11,유제품
