시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,57.0,부침가루 1kg,,3700.0,2024-11,,전통시장,용산구,2024,11,가공식품
용문시장,60.0,국수 900g,,4000.0,2024-11,,전통시장,용산구,2024,11,가공식품
용문시장,61.0,라면 5개입 1봉,,4300.0,2024-11,,전통시장,용산구,2024,11,가공식품
용문시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,용산구,2024,11,가공식품
용문시장,65.0,통조림(참치) 150g,,3800.0,2024-11,,전통시장,용산구,2024,11,가공식품
용문시장,71.0,밀가루 1kg,,2000.0,2024-11,,전통시장,용산구,2024,11,가공식품
장미원골목시장,57.0,부침가루 1kg,,2950.0,2024-11,,전통시장,강북구,2024,11,가공식품
장미원골목시장,60.0,국수 900g,,3400.0,2024-11,,전통시장,강북구,2024,11,가공식품
장미원골목시장,61.0,라면 5개입 1봉,,3800.0,2024-11,,전통시장,강북구,2024,11,가공식품
장미원골목시장,62.0,컵라면 1개,,1200.0,2024-11,,전통시장,강북구,2024,11,가공식품
장미원골목시장,65.0,통조림(참치) 150g,,2950.0,2024-11,,전통시장,강북구,2024,11,가공식품
장미원골목시장,71.0,밀가루 1kg,,1950.0,2024-11,,전통시장,강북구,2024,11,가공식품
미성동도깨비시장,57.0,부침가루 1kg,,3600.0,2024-11,,전통시장,관악구,2024,11,가공식품
미성동도깨비시장,60.0,국수 900g,,3800.0,2024-11,,전통시장,관악구,2024,11,가공식품
미성동도깨비시장,61.0,라면 5개입 1봉,,3980.0,2024-11,,전통시장,관악구,2024,11,가공식품
미성동도깨비시장,62.0,컵라면 1개,,1200.0,2024-11,,전통시장,관악구,2024,11,가공식품
미성동도깨비시장,65.0,통조림(참치) 150g,,2755.0,2024-11,"2,480/135g",전통시장,관악구,2024,11,가공식품
미성동도깨비시장,71.0,밀가루 1kg,,2200.0,2024-11,,전통시장,관악구,2024,11,가공식품
남문시장,76.0,부침가루 1kg,,3400.0,2024-11,,전통시장,금천구,2024,11,가공식품
남문시장,80.0,국수 900g,,3575.0,2024-11,,전통시장,금천구,2024,11,가공식품
남문시장,81.0,라면 5개입 1봉,,4250.0,2024-11,,전통시장,금천구,2024,11,가공식품
남문시장,82.0,컵라면 1개,,1300.0,2024-11,,전통시장,금천구,2024,11,가공식품
연서시장,57.0,부침가루 1kg,,3650.0,2024-11,,전통시장,은평구,2024,11,가공식품
연서시장,60.0,국수 900g,,4150.0,2024-11,,전통시장,은평구,2024,11,가공식품
연서시장,61.0,라면 5개입 1봉,,4350.0,2024-11,,전통시장,은평구,2024,11,가공식품
연서시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,은평구,2024,11,가공식품
연서시장,65.0,통조림(참치) 150g,,3450.0,2024-11,,전통시장,은평구,2024,11,가공식품
연서시장,71.0,밀가루 1kg,,1850.0,2024-11,,전통시장,은평구,2024,11,가공식품
창신골목시장,57.0,부침가루 1kg,,3200.0,2024-11,,전통시장,종로구,2024,11,가공식품
창신골목시장,60.0,국수 900g,,3200.0,2024-11,,전통시장,종로구,2024,11,가공식품
창신골목시장,61.0,라면 5개입 1봉,,4200.0,2024-11,,전통시장,종로구,2024,11,가공식품
창신골목시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,종로구,2024,11,가공식품
창신골목시장,65.0,통조림(참치) 150g,,3300.0,2024-11,,전통시장,종로구,2024,11,가공식품
창신골목시장,71.0,밀가루 1kg,,2000.0,2024-11,,전통시장,종로구,2024,11,가공식품
남구로시장,57.0,부침가루 1kg,,4250.0,2024-11,,전통시장,구로구,2024,11,가공식품
