시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,47.0,고추장 1kg,,14000.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,48.0,된장 1kg,,7300.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,49.0,간장 1통,,7300.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,50.0,굵은소금(천일염) 1kg,,6666.0,2024-11,3kg 20000,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,51.0,설탕 1kg,,3000.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,52.0,식초 1.8L,,4900.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,53.0,케찹 500g,,3300.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,54.0,마요네즈 500g,,5500.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,55.0,식용유 1.8L,,7500.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
용문시장,56.0,참기름 320ml,,6500.0,2024-11,,전통시장,용산구,2024,11,젓갈/장/소스
장미원골목시장,47.0,고추장 1kg,,12000.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,48.0,된장 1kg,,7500.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,49.0,간장 1통,,4800.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,50.0,굵은소금(천일염) 1kg,,7200.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,51.0,설탕 1kg,,3250.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,52.0,식초 1.8L,,5100.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,53.0,케찹 500g,,3400.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,54.0,마요네즈 500g,,4800.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
장미원골목시장,55.0,식용유 1.8L,,6950.0,2024-11,,전통시장,강북구,2024,11,젓갈/장/소스
