시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,용산구,2024,11,축산물
장미원골목시장,36.0,닭고기 1kg,,5900.0,2024-11,,전통시장,강북구,2024,11,축산물
미성동도깨비시장,36.0,닭고기 1kg,,6900.0,2024-11,12호,전통시장,관악구,2024,11,축산물
연서시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,은평구,2024,11,축산물
창신골목시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,종로구,2024,11,축산물
남구로시장,36.0,닭고기 1kg,,8000.0,2024-11,,전통시장,구로구,2024,11,축산물
목사랑시장(목4동시장),36.0,닭고기 1kg,,6000.0,2024-11,,전통시장,양천구,2024,11,축산물
,36.0,닭고기 1kg,,7900.0,2024-11,,전통시장,성동구,2024,11,축산물
송화(벽화)시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,강서구,2024,11,축산물
강남개포시장,36.0,닭고기 1kg,,7500.0,2024-11,12호,전통시장,강남구,2024,11,축산물
신원시장(신림1동),36.0,닭고기 1kg,,8000.0,2024-11,하림체리브로,전통시장,관악구,2024,11,축산물
사가정시장,38.0,닭고기 1kg,,6000.0,2024-11,,전통시장,중랑구,2024,11,축산물
백년시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,강북구,2024,11,축산물
영동전통시장,36.0,닭고기 1kg,,6900.0,2024-11,,전통시장,강남구,2024,11,축산물
솔샘시장,36.0,닭고기 1kg,,6500.0,2024-11,,전통시장,강북구,2024,11,축산물
백련시장,36.0,닭고기 1kg,,7900.0,2024-11,,전통시장,서대문구,2024,11,축산물
영일시장,36.0,닭고기 1kg,,7300.0,2024-11,,전통시장,영등포구,2024,11,축산물
대림중앙시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,영등포구,2024,11,축산물
청담삼익시장,36.0,닭고기 1kg,,8800.0,2024-11,,전통시장,강남구,2024,11,축산물
중랑동부시장,41.0,닭고기 1kg,,6000.0,2024-11,,전통시장,중랑구,2024,11,축산물
대림시장,36.0,닭고기 1kg,,7300.0,2024-11,,전통시장,은평구,2024,11,축산물
대신시장,36.0,닭고기 1kg,,10000.0,2024-11,,전통시장,영등포구,2024,11,축산물
망원시장,36.0,닭고기 1kg,,8000.0,2024-11,,전통시장,마포구,2024,11,축산물
자양골목시장,36.0,닭고기 1kg,,6900.0,2024-11,,전통시장,광진구,2024,11,축산물
노룬산골목시장,36.0,닭고기 1kg,,6300.0,2024-11,,전통시장,광진구,2024,11,축산물
인왕시장,36.0,닭고기 1kg,,5500.0,2024-11,,전통시장,서대문구,2024,11,축산물
관악신사시장(신림4동),36.0,닭고기 1kg,,8500.0,2024-11,,전통시장,관악구,2024,11,축산물
포방터시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,서대문구,2024,11,축산물
목동깨비시장(목3동시장),36.0,닭고기 1kg,,7500.0,2024-11,,전통시장,양천구,2024,11,축산물
동원시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,중랑구,2024,11,축산물
공릉동 도깨비시장,36.0,닭고기 1kg,,8500.0,2024-11,,전통시장,노원구,2024,11,축산물
장위전통시장,36.0,닭고기 1kg,,7500.0,2024-11,,전통시장,성북구,2024,11,축산물
신영시장,36.0,닭고기 1kg,,6500.0,2024-11,,전통시장,양천구,2024,11,축산물
비단길현대시장,36.0,닭고기 1kg,,9000.0,2024-11,,전통시장,금천구,2024,11,축산물
숭인시장,36.0,닭고기 1kg,,4800.0,2024-11,,전통시장,강북구,2024,11,축산물
상계중앙시장,36.0,닭고기 1kg,,9000.0,2024-11,하림생닭,전통시장,노원구,2024,11,축산물
고분다리전통시장,36.0,닭고기 1kg,,6000.0,2024-11,,전통시장,강동구,2024,11,축산물
신림중앙시장,36.0,닭고기 1kg,,7300.0,2024-11,,전통시장,관악구,2024,11,축산물
신창시장,36.0,닭고기 1kg,,8000.0,2024-11,,전통시장,도봉구,2024,11,축산물
관악중부시장,36.0,닭고기 1kg,,6000.0,2024-11,,전통시장,관악구,2024,11,축산물
수유재래시장,36.0,닭고기 1kg,,8000.0,2024-11,,전통시장,강북구,2024,11,축산물
대명여울빛거리시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,금천구,2024,11,축산물
,11.0,닭고기 1kg,,4000.0,2024-11,,전통시장,서초구,2024,11,축산물
돈암제일시장,36.0,닭고기 1kg,,7900.0,2024-11,,전통시장,성북구,2024,11,축산물
정릉시장,36.0,닭고기 1kg,,5500.0,2024-11,,전통시장,성북구,2024,11,축산물
가리봉시장,36.0,닭고기 1kg,,7000.0,2024-11,,전통시장,구로구,2024,11,축산물
돌곶이시장,36.0,닭고기 1kg,,6800.0,2024-11,,전통시장,성북구,2024,11,축산물
대조시장,36.0,닭고기 1kg,,5500.0,2024-11,,전통시장,은평구,2024,11,축산물
중곡제일골목시장,40.0,닭고기 1kg,,7000.0,2024-11,냉동,전통시장,광진구,2024,11,축산물
남부골목시장,36.0,닭고기 1kg,,8500.0,2024-11,,전통시장,강서구,2024,11,축산물
은행나무시장,36.0,닭고기 1kg,,8500.0,2024-11,,전통시장,금천구,2024,11,축산물
