시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,41.0,고등어 1마리,,2500.0,2024-11,4마리 10000,전통시장,용산구,2024,11,생선/해산물
장미원골목시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
미성동도깨비시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,관악구,2024,11,생선/해산물
남문시장,60.0,고등어 1마리,,4000.0,2024-11,,전통시장,금천구,2024,11,생선/해산물
연서시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,은평구,2024,11,생선/해산물
창신골목시장,41.0,고등어 1마리,,6000.0,2024-11,,전통시장,종로구,2024,11,생선/해산물
남구로시장,41.0,고등어 1마리,,3500.0,2024-11,,전통시장,구로구,2024,11,생선/해산물
목사랑시장(목4동시장),41.0,고등어 1마리,,5000.0,2024-11,,전통시장,양천구,2024,11,생선/해산물
,41.0,고등어 1마리,,3150.0,2024-11,,전통시장,성동구,2024,11,생선/해산물
송화(벽화)시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,강서구,2024,11,생선/해산물
강남개포시장,41.0,고등어 1마리,,4000.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
신원시장(신림1동),41.0,고등어 1마리,,4000.0,2024-11,,전통시장,관악구,2024,11,생선/해산물
사가정시장,45.0,고등어 1마리,,5870.0,2024-11,,전통시장,중랑구,2024,11,생선/해산물
백년시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
영동전통시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
솔샘시장,41.0,고등어 1마리,,3000.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
백련시장,41.0,고등어 1마리,,4500.0,2024-11,,전통시장,서대문구,2024,11,생선/해산물
영일시장,41.0,고등어 1마리,,4000.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
대림중앙시장,41.0,고등어 1마리,,4000.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
청담삼익시장,41.0,고등어 1마리,,4000.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
대림시장,41.0,고등어 1마리,,2000.0,2024-11,,전통시장,은평구,2024,11,생선/해산물
대신시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
망원시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,마포구,2024,11,생선/해산물
자양골목시장,41.0,고등어 1마리,,5000.0,2024-11,,전통시장,광진구,2024,11,생선/해산물
노룬산골목시장,41.0,고등어 1마리,,7000.0,2024-11,,전통시장,광진구,2024,11,생선/해산물
인왕시장,41.0,고등어 1마리,,7000.0,2024-11,생물,전통시장,서대문구,2024,11,생선/해산물
관악신사시장(신림4동),41.0,고등어 1마리,,4000.0,2024-11,,전통시장,관악구,2024,11,생선/해산물
포방터시장,41.0,고등어 1마리,,6000.0,2024-11,,전통시장,서대문구,2024,11,생선/해산물
목동깨비시장(목3동시장),41.0,고등어 1마리,,4500.0,2024-11,,전통시장,양천구,2024,11,생선/해산물
동원시장,41.0,고등어 1마리,,3000.0,2024-11,,전통시장,중랑구,2024,11,생선/해산물
공릉동 도깨비시장,41.0,고등어 1마리,,4000.0,2024-11,,전통시장,노원구,2024,11,생선/해산물
