시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
사가정시장,37.0,돼지고기 100g,,4300.0,2024-11,,전통시장,중랑구,2024,11,축산물
중랑동부시장,40.0,돼지고기 100g,,6900.0,2024-11,냉동,전통시장,중랑구,2024,11,축산물
비단길현대시장,35.0,돼지고기 100g,,18900.0,2024-11,,전통시장,금천구,2024,11,축산물
화양제일골목시장,44.0,돼지고기 100g,,10800.0,2024-11,,전통시장,광진구,2024,11,축산물
비단길현대시장,35.0,돼지고기 100g,,18900.0,2024-10,,전통시장,금천구,2024,10,축산물
경동시장,43.0,돼지고기 100g,,10000.0,2024-09,,전통시장,동대문구,2024,9,축산물
비단길현대시장,35.0,돼지고기 100g,,17800.0,2024-09,,전통시장,금천구,2024,9,축산물
비단길현대시장,35.0,돼지고기 100g,,17800.0,2024-08,,전통시장,금천구,2024,8,축산물
비단길현대시장,35.0,돼지고기 100g,,14800.0,2024-07,,전통시장,금천구,2024,7,축산물
비단길현대시장,35.0,돼지고기 100g,,14000.0,2024-06,,전통시장,금천구,2024,6,축산물
영일시장,35.0,돼지고기 100g,,4880.0,2024-06,,전통시장,영등포구,2024,6,축산물
비단길현대시장,35.0,돼지고기 100g,,14300.0,2024-05,,전통시장,금천구,2024,5,축산물
백학시장,36.0,돼지고기 100g,,7900.0,2023-03,,전통시장,중구,2023,3,축산물
마포·공덕시장,61.0,돼지고기 100g,,4700.0,2023-03,,전통시장,마포구,2023,3,축산물
도곡시장,36.0,돼지고기 100g,,8500.0,2023-03,,전통시장,강남구,2023,3,축산물
영동전통시장,41.0,돼지고기 100g,,6000.0,2023-03,,전통시장,강남구,2023,3,축산물
화양제일골목시장,48.0,돼지고기 100g,,6250.0,2023-03,,전통시장,광진구,2023,3,축산물
우림시장,48.0,돼지고기 100g,,5800.0,2023-03,,전통시장,중랑구,2023,3,축산물
답십리현대시장,48.0,돼지고기 100g,,8400.0,2023-03,,전통시장,동대문구,2023,3,축산물
백년시장,48.0,돼지고기 100g,,5150.0,2023-03,,전통시장,강북구,2023,3,축산물
남구로시장,48.0,돼지고기 100g,,8500.0,2023-03,,전통시장,구로구,2023,3,축산물
고척근린시장,48.0,돼지고기 100g,,6950.0,2023-03,,전통시장,구로구,2023,3,축산물
남문시장,48.0,돼지고기 100g,,8150.0,2023-03,,전통시장,금천구,2023,3,축산물
대명여울빛거리시장,48.0,돼지고기 100g,,8150.0,2023-03,,전통시장,금천구,2023,3,축산물
남성시장,36.0,돼지고기 100g,,6500.0,2023-03,국내산생닭마니커,전통시장,동작구,2023,3,축산물
미성동도깨비시장,61.0,돼지고기 100g,,4500.0,2023-03,,전통시장,관악구,2023,3,축산물
노룬산골목시장,36.0,돼지고기 100g,,8950.0,2023-03,,전통시장,광진구,2023,3,축산물
공릉동 도깨비시장,36.0,돼지고기 100g,,8900.0,2023-03,할인,전통시장,노원구,2023,3,축산물
영등포전통시장,35.0,돼지고기 100g,,5500.0,2023-03,,전통시장,영등포구,2023,3,축산물
풍납시장,48.0,돼지고기 100g,,7600.0,2023-03,,전통시장,송파구,2023,3,축산물
우림시장,36.0,돼지고기 100g,,9000.0,2023-04,,전통시장,중랑구,2023,4,축산물
구로시장,35.0,돼지고기 100g,,16200.0,2023-09,,전통시장,구로구,2023,9,축산물
방이시장,35.0,돼지고기 100g,,22500.0,2023-09,,전통시장,송파구,2023,9,축산물
노룬산골목시장,35.0,돼지고기 100g,,14900.0,2023-10,,전통시장,광진구,2023,10,축산물
통인시장,99.0,돼지고기(생삼겹살),600g,15000.0,2021-01,"국내산,이천",전통시장,종로구,2021,1,축산물
광장시장,99.0,돼지고기(생삼겹살),600g,14000.0,2021-01,"국내산,경기도",전통시장,종로구,2021,1,축산물
남대문시장,99.0,돼지고기(생삼겹살),1근,12000.0,2021-01,"국내,삼겹살",전통시장,중구,2021,1,축산물
서울중앙시장,99.0,돼지고기(생삼겹살),1근,11500.0,2021-01,"국내,삼겹살",전통시장,중구,2021,1,축산물
이마트 청계점,99.0,돼지고기(생삼겹살),1근,12000.0,2021-01,"국내,삼겹살",대형마트,중구,2021,1,축산물
롯데마트 서울역점,99.0,돼지고기(생삼겹살),1근,11800.0,2021-01,"국내,삼겹살",대형마트,중구,2021,1,축산물
뚝도시장,202.0,돼지고기(생삼겹살),600g,11500.0,2021-01,국내산,전통시장,성동구,2021,1,축산물
이마트 성수점,202.0,돼지고기(생삼겹살),600g,11880.0,2021-01,국내산구이용,대형마트,성동구,2021,1,축산물
이마트 왕십리점,202.0,돼지고기(생삼겹살),600g,11880.0,2021-01,국내산,대형마트,성동구,2021,1,축산물
금남시장,202.0,돼지고기(생삼겹살),600g,11800.0,2021-01,국내산,전통시장,성동구,2021,1,축산물
롯데마트 강변점,99.0,돼지고기(생삼겹살),600g,12480.0,2021-01,국내산.팜스토리,대형마트,광진구,2021,1,축산물
