시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
용문시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,용산구,2024,11,생선/해산물
장미원골목시장,40.0,오징어 1마리,,7500.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
미성동도깨비시장,40.0,오징어 1마리,,6000.0,2024-11,,전통시장,관악구,2024,11,생선/해산물
남문시장,59.0,오징어 1마리,,5000.0,2024-11,,전통시장,금천구,2024,11,생선/해산물
연서시장,40.0,오징어 1마리,,5000.0,2024-11,입고안됨,전통시장,은평구,2024,11,생선/해산물
창신골목시장,40.0,오징어 1마리,,7000.0,2024-11,,전통시장,종로구,2024,11,생선/해산물
남구로시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,구로구,2024,11,생선/해산물
목사랑시장(목4동시장),40.0,오징어 1마리,,4000.0,2024-11,,전통시장,양천구,2024,11,생선/해산물
,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,성동구,2024,11,생선/해산물
송화(벽화)시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,강서구,2024,11,생선/해산물
강남개포시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
신원시장(신림1동),40.0,오징어 1마리,,6000.0,2024-11,,전통시장,관악구,2024,11,생선/해산물
백년시장,40.0,오징어 1마리,,6000.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
영동전통시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
솔샘시장,40.0,오징어 1마리,,6500.0,2024-11,,전통시장,강북구,2024,11,생선/해산물
백련시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,서대문구,2024,11,생선/해산물
영일시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
대림중앙시장,40.0,오징어 1마리,,3500.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
청담삼익시장,40.0,오징어 1마리,,7500.0,2024-11,,전통시장,강남구,2024,11,생선/해산물
중랑동부시장,45.0,오징어 1마리,,4300.0,2024-11,,전통시장,중랑구,2024,11,생선/해산물
대림시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,은평구,2024,11,생선/해산물
대신시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,영등포구,2024,11,생선/해산물
망원시장,40.0,오징어 1마리,,5000.0,2024-11,,전통시장,마포구,2024,11,생선/해산물
자양골목시장,40.0,오징어 1마리,,6000.0,2024-11,,전통시장,광진구,2024,11,생선/해산물
