행정동_코드_명,평균_식료품_지출_비율,평균_소득 금액,지출_총금액,식료품_지출_총금액
용산구,0.5253,3987082.05,228583134909 ,120080386455 
노원구,0.3292,3213330.27,106436642500 ,35036092545 
도봉구,0.3059,2802269.23,43100743227 ,13194324955 
중랑구,0.2966,2612789.14,58205588955 ,17243310273 
동대문구,0.2917,3040301.91,79761541273 ,23327808136 
성북구,0.2793,3295527.05,70441213000 ,19674165591 
관악구,0.2654,2794556.55,101943428364 ,27021633227 
은평구,0.2546,2925788.32,74704906545 ,19012481364 
강북구,0.2533,2561039.91,52221105682 ,13235071727 
성동구,0.2432,3747963.14,74110048273 ,18058255409 
광진구,0.2254,3211422.91,81751071455 ,18387058045 
송파구,0.2011,4013693.77,185592758273 ,36525379455 
금천구,0.1691,2649712.55,90059646545 ,14127373727 
강서구,0.1549,3172967.05,194489950773 ,29822202318 
양천구,0.1476,3815615.68,211956232909 ,24507735364 
동작구,0.1375,3473566.23,155345000136 ,21293044591 
강동구,0.1329,3305768.05,154142727682 ,20376234909 
서대문구,0.125,3424320.32,113916046364 ,14116435545 
영등포구,0.1017,3815615.68,252035238045 ,24869662182 
종로구,0.0566,3738905.86,253003243909 ,13314899000 
서초구,0.0418,4941746.73,510577704909 ,20984438682 
마포구,0.0362,3848136.5,828962018682 ,27256927727 
구로구,0.0215,3013413.23,1070680972318 ,22281225273 
강남구,0.0178,4968791.05,2192274180955 ,38747185273 
중구,0.0166,3526402.36,2174801489091 ,35973812227 
