자치구,시장밀도
종로구,0.003655435473617292
중구,0.003022974607013301
용산구,7.702676680146351E-4
성동구,7.678676904902539E-4
광진구,6.802060052473035E-4
중랑구,6.205843039908344E-4
성북구,7.852815795378057E-4
강북구,0.0012888674077654262
도봉구,7.339694401814907E-4
노원구,5.637375801564371E-4
은평구,8.202410246703262E-4
서대문구,7.696536558548653E-4
마포구,0.0010809436001780377
양천구,5.151371057219845E-4
강서구,7.287036362311448E-4
구로구,4.3570875290472504E-4
금천구,4.320354269050062E-4
영등포구,0.0013577732518669382
동작구,3.777386048854193E-4
관악구,0.0015441263808053214
서초구,6.838386140870754E-4
강남구,7.17772035601493E-4
송파구,4.1061438176872146E-4
강동구,4.7768165171700017E-4
