행정동_코드_명,평균_식료품_지출_비율,평균_소득 금액,지출_총금액,식료품_지출_총금액,지역,영유아 및 청소년층,청년층,중년층,장년층,노년층,면적(km²),총인구,인구밀도,시장밀도,Cluster
용산구,0.5253,3987082.05,2.28583E+11,1.2008E+11,용산구,25802,52298,50497,50523,39250,21.87,218370,9984.910837,0.000770268,0
노원구,0.3292,3213330.27,1.06437E+11,35036092545,노원구,71387,99825,102260,125310,99576,35.44,498358,14062.02032,0.000563738,2
도봉구,0.3059,2802269.23,43100743227,13194324955,도봉구,35268,57705,58959,81767,73227,20.65,306926,14863.24455,0.000733969,2
중랑구,0.2966,2612789.14,58205588955,17243310273,중랑구,42367,83018,79364,99134,82248,18.5,386131,20871.94595,0.000620584,2
성북구,0.2793,3295527.05,70441213000,19674165591,성북구,58408,101687,89805,102728,82864,24.58,435492,17717.33116,0.000785282,2
관악구,0.2654,2794556.55,1.01943E+11,27021633227,관악구,41021,170380,96261,100792,88015,29.57,496469,16789.61786,0.001544126,2
은평구,0.2546,2925788.32,74704906545,19012481364,은평구,57446,98296,98692,115392,96983,29.71,466809,15712.18445,0.00080241,2
강북구,0.2533,2561039.91,52221105682,13235071727,강북구,29793,58942,54651,75649,70643,23.6,289678,12274.49153,0.001288867,2
성동구,0.2432,3747963.14,74110048273,18058255409,성동구,34300,68303,62993,65964,50825,16.82,282385,16788.64447,0.000767868,2
광진구,0.2254,3211422.91,81751071455,18387058045,광진구,39197,98911,72466,79715,59018,17.06,349307,20475.20516,0.000680206,2
송파구,0.2011,4013693.77,1.85593E+11,36525379455,송파구,99008,140114,156683,149171,113015,33.88,657991,19421.22196,0.000410614,2
금천구,0.1691,2649712.55,90059646545,14127373727,금천구,23012,59086,48162,62010,47307,13.02,239577,18400.69124,0.000432035,2
강서구,0.1549,3172967.05,1.9449E+11,29822202318,강서구,70784,132125,128502,125904,106200,41.45,563515,13595.05428,0.000728704,2
양천구,0.1476,3815615.68,2.11956E+11,24507735364,양천구,71411,79162,97265,108652,79377,17.41,435867,25035.4394,0.000515137,2
동작구,0.1375,3473566.23,1.55345E+11,21293044591,동작구,45384,102893,81099,85945,72471,16.36,387792,23703.66748,0.000377739,2
강동구,0.1329,3305768.05,1.54143E+11,20376234909,강동구,70560,93513,109874,108501,87016,24.59,469464,19091.66328,0.000477682,2
서대문구,0.125,3424320.32,1.13916E+11,14116435545,서대문구,39707,82313,65738,72209,59782,17.63,319749,18136.64209,0.000769654,2
영등포구,0.1017,3815615.68,2.52035E+11,24869662182,영등포구,45911,100747,90996,90147,69713,24.55,397514,16192.01629,0.001357773,0
종로구,0.0566,3738905.86,2.53003E+11,13314899000,종로구,16269,39092,29050,36002,29598,23.91,150011,6273.98578,0.003655435,1
서초구,0.0418,4941746.73,5.10578E+11,20984438682,서초구,71929,80112,100461,92114,67995,46.97,412611,8784.564616,0.000683839,0
마포구,0.0362,3848136.5,8.28962E+11,27256927727,마포구,46808,100081,86816,80672,59497,23.85,373874,15676.0587,0.001080944,0
구로구,0.0215,3013413.23,1.07068E+12,22281225273,구로구,51246,85102,91794,101454,82845,20.12,412441,20499.05567,0.000435709,2
강남구,0.0178,4968791.05,2.19227E+12,38747185273,강남구,97421,112937,141443,121812,90667,39.5,564280,14285.56962,0.000717772,0
중구,0.0166,3526402.36,2.1748E+12,35973812227,중구,12542,33717,28489,30129,26712,9.96,131589,13211.74699,0.003022975,1
