지역,영유아 및 청소년층,청년층,중년층,장년층,노년층,면적(km²)
합계,1238337,2227639,2094777,2240756,1803910,605.2
종로구,16269,39092,29050,36002,29598,23.91
중구,12542,33717,28489,30129,26712,9.96
용산구,25802,52298,50497,50523,39250,21.87
성동구,34300,68303,62993,65964,50825,16.82
광진구,39197,98911,72466,79715,59018,17.06
동대문구,41356,97280,72457,79060,69066,14.22
중랑구,42367,83018,79364,99134,82248,18.5
성북구,58408,101687,89805,102728,82864,24.58
강북구,29793,58942,54651,75649,70643,23.6
도봉구,35268,57705,58959,81767,73227,20.65
노원구,71387,99825,102260,125310,99576,35.44
은평구,57446,98296,98692,115392,96983,29.71
서대문구,39707,82313,65738,72209,59782,17.63
마포구,46808,100081,86816,80672,59497,23.85
양천구,71411,79162,97265,108652,79377,17.41
강서구,70784,132125,128502,125904,106200,41.45
구로구,51246,85102,91794,101454,82845,20.12
금천구,23012,59086,48162,62010,47307,13.02
영등포구,45911,100747,90996,90147,69713,24.55
동작구,45384,102893,81099,85945,72471,16.36
관악구,41021,170380,96261,100792,88015,29.57
서초구,71929,80112,100461,92114,67995,46.97
강남구,97421,112937,141443,121812,90667,39.5
송파구,99008,140114,156683,149171,113015,33.88
강동구,70560,93513,109874,108501,87016,24.59
