동별(1),항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
합계,계,9605419,208596,291269,357817,380655,584967,823767,818905,667860,736894,690023,798091,731496,711169,632921,433075,334403,235015,118448,39104,9374,1570
합계,한국인,9350995,204196,285344,353284,371958,539933,783553,793613,644640,717964,674268,779949,711784,697961,626232,430307,333437,234584,118161,38975,9324,1528
합계,등록외국인,254424,4400,5925,4533,8697,45034,40214,25292,23220,18930,15755,18142,19712,13208,6689,2768,966,431,287,129,50,42
종로구,계,150011,2477,3561,4675,5556,12261,14696,12135,9164,10243,9643,12479,11902,11621,9774,6466,5408,4384,2445,855,220,46
종로구,한국인,138879,2288,3326,4447,5094,8847,12358,11233,8394,9545,9132,12004,11534,11353,9621,6408,5375,4369,2436,850,219,46
종로구,등록외국인,11132,189,235,228,462,3414,2338,902,770,698,511,475,368,268,153,58,33,15,9,5,1,0
중구,계,131589,2801,3069,3108,3564,8214,12418,13085,10487,9739,8263,10037,10051,10041,9080,6027,4865,3778,2007,732,195,28
중구,한국인,121324,2597,2783,2855,3185,6490,10515,12052,9532,8978,7613,9388,9438,9640,8844,5909,4824,3747,1988,725,195,26
중구,등록외국인,10265,204,286,253,379,1724,1903,1033,955,761,650,649,613,401,236,118,41,31,19,7,0,2
용산구,계,218370,5268,6288,6900,7346,11592,18595,22111,17874,17608,15015,18071,16631,15821,13335,8714,6900,5480,3291,1177,293,60
용산구,한국인,205145,4797,5580,6243,6839,10866,17407,20545,16183,15990,13717,17063,15854,15342,13091,8575,6821,5441,3269,1175,291,56
용산구,등록외국인,13225,471,708,657,507,726,1188,1566,1691,1618,1298,1008,777,479,244,139,79,39,22,2,2,4
성동구,계,282385,7727,8662,8392,9519,18209,24652,25442,22178,22125,18690,22822,21883,21259,17792,11755,9246,7016,3604,1131,241,40
성동구,한국인,275403,7625,8575,8325,9304,16474,23151,24729,21623,21718,18359,22448,21435,21029,17681,11684,9232,7007,3600,1129,240,35
성동구,등록외국인,6982,102,87,67,215,1735,1501,713,555,407,331,374,448,230,111,71,14,9,4,2,1,5
광진구,계,349307,6179,8684,11328,13006,26614,38738,33559,24134,24932,23400,27637,26674,25404,21510,13875,10620,7615,3800,1248,297,53
광진구,한국인,333403,5911,8387,11041,12265,22206,35399,32182,23053,24152,22763,26922,25733,24785,21250,13768,10598,7606,3790,1244,297,51
광진구,등록외국인,15904,268,297,287,741,4408,3339,1377,1081,780,637,715,941,619,260,107,22,9,10,4,0,2
동대문구,계,359219,7821,10048,10859,12628,32525,35840,28915,23704,25680,23073,27241,26024,25795,23411,16209,12978,9793,4829,1477,315,54
동대문구,한국인,340686,7624,9873,10755,11893,25496,30691,27251,22756,25099,22656,26797,25536,25467,23264,16139,12954,9779,4817,1472,313,54
동대문구,등록외국인,18533,197,175,104,735,7029,5149,1664,948,581,417,444,488,328,147,70,24,14,12,5,2,0
중랑구,계,386131,8312,10132,11539,12384,19347,30492,33179,26405,27894,25065,31272,33357,34505,29879,19825,14887,10618,5011,1599,370,59
중랑구,한국인,380353,8102,9958,11401,12147,18597,29605,32440,25757,27472,24723,30888,32962,34249,29757,19777,14870,10615,5009,1595,370,59
중랑구,등록외국인,5778,210,174,138,237,750,887,739,648,422,342,384,395,256,122,48,17,3,2,4,0,0
성북구,계,435492,9475,13666,16351,18916,35489,35541,30657,27207,31723,30875,38203,33387,31138,27758,18993,15526,12062,6073,1908,476,68
성북구,한국인,423439,9333,13533,16218,18186,31415,32736,29445,26440,31146,30446,37845,33101,30941,27651,18943,15501,12049,6067,1901,476,66
성북구,등록외국인,12053,142,133,133,730,4074,2805,1212,767,577,429,358,286,197,107,50,25,13,6,7,0,2
강북구,계,289678,4291,6574,8769,10159,17737,21529,19676,15794,19288,19569,25441,24891,25317,23019,16519,13851,10514,4958,1382,353,47
강북구,한국인,284313,4202,6496,8722,9906,16266,20404,19164,15389,18975,19352,25208,24642,25123,22923,16474,13829,10507,4956,1379,352,44
강북구,등록외국인,5365,89,78,47,253,1471,1125,512,405,313,217,233,249,194,96,45,22,7,2,3,1,3
도봉구,계,306926,5326,8049,10374,11519,16418,20683,20604,17462,20909,20588,26940,27120,27707,25786,17025,13175,10006,5143,1638,390,64
도봉구,한국인,304255,5279,7992,10339,11408,15949,20281,20249,17153,20693,20428,26761,26946,27624,25745,17003,13169,10004,5141,1637,390,64
도봉구,등록외국인,2671,47,57,35,111,469,402,355,309,216,160,179,174,83,41,22,6,2,2,1,0,0
노원구,계,498358,10220,14845,20980,25342,33803,33270,32752,29094,35604,37562,46036,40613,38661,34838,23573,17806,13149,7071,2476,566,97
노원구,한국인,493486,10175,14778,20941,25068,32563,32224,32162,28705,35304,37327,45838,40410,38536,34766,23548,17793,13142,7068,2476,565,97
노원구,등록외국인,4872,45,67,39,274,1240,1046,590,389,300,235,198,203,125,72,25,13,7,3,0,1,0
은평구,계,466809,9462,13251,16459,18274,25089,35737,37470,29944,35076,33672,41020,37423,36949,32762,22800,18350,13618,6915,2011,456,71
은평구,한국인,462514,9379,13140,16376,18134,24803,35258,36897,29365,34606,33335,40705,37097,36707,32620,22742,18319,13599,6901,2007,453,71
은평구,등록외국인,4295,83,111,83,140,286,479,573,579,470,337,315,326,242,142,58,31,19,14,4,3,0
서대문구,계,319749,7156,9712,10793,12046,26573,30014,25726,21401,23226,21111,25817,23797,22595,19747,13324,11142,8855,4834,1466,350,64
서대문구,한국인,304523,7079,9582,10610,11287,21151,26512,24252,20576,22540,20629,25358,23447,22269,19499,13191,11060,8813,4806,1455,346,61
서대문구,등록외국인,15226,77,130,183,759,5422,3502,1474,825,686,482,459,350,326,248,133,82,42,28,11,4,3
마포구,계,373874,8449,11546,12751,14062,25557,37373,37151,29648,30158,27010,31105,26080,23487,19862,13218,11035,8794,4587,1603,344,54
마포구,한국인,362564,8320,11316,12563,13602,22868,35029,35650,28701,29426,26498,30628,25695,23180,19678,13091,10983,8763,4578,1599,344,52
마포구,등록외국인,11310,129,230,188,460,2689,2344,1501,947,732,512,477,385,307,184,127,52,31,9,4,0,2
양천구,계,435867,8569,15789,23468,23585,23014,27993,28155,25450,35166,36649,39853,35134,33665,29770,20018,14104,8898,4491,1656,374,66
양천구,한국인,432523,8517,15709,23408,23522,22847,27647,27791,25040,34828,36337,39537,34761,33422,29644,19963,14081,8893,4487,1651,374,64
양천구,등록외국인,3344,52,80,60,63,167,346,364,410,338,312,316,373,243,126,55,23,5,4,5,0,2
강서구,계,563515,12699,16884,20350,20851,28692,48780,54653,43143,45116,40243,43956,40010,41938,39116,26350,19160,12254,6374,2273,589,84
강서구,한국인,557662,12580,16729,20264,20741,28356,48070,53876,42284,44518,39781,43474,39537,41572,38928,26275,19126,12242,6368,2269,588,84
강서구,등록외국인,5853,119,155,86,110,336,710,777,859,598,462,482,473,366,188,75,34,12,6,4,1,0
구로구,계,412441,10126,12562,14154,14404,19755,30869,34478,30537,32028,29229,34797,33572,33085,29399,20723,15528,10291,4986,1492,374,52
구로구,한국인,389416,9623,11741,13691,13984,19095,29892,32996,28102,29783,27131,31766,29948,30666,28201,20283,15420,10246,4954,1479,364,51
구로구,등록외국인,23025,503,821,463,420,660,977,1482,2435,2245,2098,3031,3624,2419,1198,440,108,45,32,13,10,1
금천구,계,239577,4471,5491,6227,6823,11448,23774,23864,16929,16161,15072,19552,21204,21254,17378,11560,8593,5918,2773,888,157,40
금천구,한국인,226003,4143,5027,5927,6617,11061,23076,22900,15491,14883,13832,17728,19032,19898,16806,11323,8530,5897,2762,878,155,37
금천구,등록외국인,13574,328,464,300,206,387,698,964,1438,1278,1240,1824,2172,1356,572,237,63,21,11,10,2,3
영등포구,계,397514,10453,11895,11729,11834,19709,38407,42631,33668,30713,26615,31152,30319,28676,24400,16504,12779,9154,4903,1580,325,68
영등포구,한국인,374653,10009,11168,11288,11429,18817,37131,41104,31348,28672,24495,28231,26832,26322,23145,16075,12670,9112,4867,1563,313,62
영등포구,등록외국인,22861,444,727,441,405,892,1276,1527,2320,2041,2120,2921,3487,2354,1255,429,109,42,36,17,12,6
동작구,계,387792,8251,10968,12321,13844,28159,39443,35291,27034,27973,26092,30497,28166,27282,24357,17159,14066,9819,4965,1659,379,67
동작구,한국인,377137,8155,10854,12217,13368,25361,37449,34334,26295,27384,25604,29907,27441,26715,24098,17054,14047,9807,4951,1654,378,64
동작구,등록외국인,10655,96,114,104,476,2798,1994,957,739,589,488,590,725,567,259,105,19,12,14,5,1,3
관악구,계,496469,6892,8922,11098,14109,37743,73339,59298,34443,32359,29459,35001,33087,32704,29210,21542,17358,12343,5601,1554,348,59
관악구,한국인,479774,6675,8659,10929,13597,34858,70053,57290,33123,31354,28618,33899,31707,31752,28735,21368,17307,12322,5581,1545,344,58
관악구,등록외국인,16695,217,263,169,512,2885,3286,2008,1320,1005,841,1102,1380,952,475,174,51,21,20,9,4,1
서초구,계,412611,10238,16714,23001,21976,22101,27971,30040,28415,35926,36120,37929,28968,25217,23411,16733,13391,8335,4174,1480,405,66
서초구,한국인,408060,10128,16523,22804,21840,21844,27426,29448,27795,35299,35677,37588,28738,25080,23351,16704,13374,8328,4167,1479,402,65
서초구,등록외국인,4551,110,191,197,136,257,545,592,620,627,443,341,230,137,60,29,17,7,7,1,3,1
강남구,계,564280,12351,21148,32417,31505,29367,39690,43880,39193,50568,51682,50438,38050,33324,31201,23121,17883,10707,5182,1943,539,91
강남구,한국인,558508,12296,21067,32354,31348,28822,38539,42864,38382,50008,51275,50109,37788,33171,31116,23078,17849,10700,5173,1941,538,90
강남구,등록외국인,5772,55,81,63,157,545,1151,1016,811,560,407,329,262,153,85,43,34,7,9,2,1,1
송파구,계,657991,16793,25060,29161,27994,32915,50167,57032,50431,56682,49570,53283,48466,47422,43022,28781,20147,12159,5976,2249,589,92
송파구,한국인,651882,16664,24911,29060,27877,32546,49504,56211,49579,56014,49114,52733,47874,47069,42843,28718,20120,12147,5971,2247,588,92
송파구,등록외국인,6109,129,149,101,117,369,663,821,852,668,456,550,592,353,179,63,27,12,5,2,1,0
강동구,계,469464,12789,17749,20613,19409,22636,33756,37121,34121,39997,35756,37512,34687,36302,33104,22261,15605,9455,4455,1627,429,80
강동구,한국인,465090,12695,17637,20506,19317,22335,33196,36548,33574,39577,35426,37124,34296,36049,32975,22214,15585,9449,4454,1625,429,79
강동구,등록외국인,4374,94,112,107,92,301,560,573,547,420,330,388,391,253,129,47,20,6,1,2,0,1
