날짜,나이대,합계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
항목,항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
2024 2/4,합계,9619861,150204,131800,219451,283853,350005,360066,386782,436666,290252,308060,500045,468976,320010,373980,436595,565133,413099,240153,397771,389541,497632,411959,562136,658768,466924
2024 2/4,0~4세,210520,2468,2801,5248,7792,6291,7902,8412,9515,4328,5422,10361,9693,7186,8554,8673,12874,10146,4538,10501,8365,7020,10287,12406,16954,12783
2024 2/4,5~9세,296959,3629,3104,6459,8838,8864,10184,10397,13911,6736,8295,15292,13665,9897,11804,16019,17265,12807,5604,12113,11258,9218,16945,21374,25415,17866
2024 2/4,10~14세,357533,4665,3129,6911,8419,11367,10847,11514,16467,8824,10435,21026,16490,10804,12707,23358,20362,14221,6288,11726,12410,11146,22842,31994,29152,20429
2024 2/4,15~19세,382227,5568,3542,7434,9683,13057,12763,12474,19185,10204,11613,25644,18531,11884,14020,23709,21046,14492,6903,11915,13971,14201,21991,31099,27981,19317
2024 2/4,20~24세,590577,12330,8380,11854,18605,26691,32716,19558,35909,17778,16663,34090,25424,26388,25529,23380,29127,20085,11621,19915,28628,38019,22161,29489,33477,22760
2024 2/4,25~29세,831140,14841,12619,18784,24979,39051,36271,30851,35772,21722,20903,33556,36093,30317,37602,28242,49255,31165,23885,38648,39803,73987,28169,39966,50708,33951
2024 2/4,30~34세,814147,12080,12913,22020,25205,33426,28713,32846,30552,19620,20529,32683,37395,25636,36921,28090,54625,34367,23675,42270,35215,58784,29880,43667,56589,36446
2024 2/4,35~39세,668279,9149,10447,17828,22278,24172,23657,26577,27224,15916,17626,29100,30218,21497,29755,25586,43038,30465,16943,33509,27100,34415,28333,38988,50551,33907
2024 2/4,40~44세,744058,10331,9815,17900,22242,25191,25944,28206,32093,19523,21196,36165,35650,23435,30241,35352,45732,32293,16420,30899,28511,32773,36274,50732,56986,40154
2024 2/4,45~49세,690249,9636,8210,15126,18898,23394,23110,25000,31025,19658,20699,37825,33894,21157,27132,36622,40283,29388,15035,26632,26098,29560,36020,51093,49454,35300
2024 2/4,50~54세,805042,12636,10221,18318,23212,27960,27557,31807,38541,25649,27291,46542,41411,26118,31255,40207,44262,34900,19847,31351,30806,35371,37985,50528,53827,37440
2024 2/4,55~59세,728224,11872,10015,16628,21836,26620,25942,33321,33179,24853,27122,40335,37190,23712,25907,35088,39911,33392,21150,30139,28041,32936,28646,37665,48182,34542
2024 2/4,60~64세,715620,11661,10088,15920,21332,25614,25957,34659,31328,25519,27901,38911,37145,22704,23549,33870,42330,33405,21480,28923,27512,32935,25235,33416,47768,36458
2024 2/4,65~69세,628209,9717,9020,13279,17740,21275,23265,29565,27506,22834,25527,34646,32556,19569,19668,29437,38795,29172,17268,24335,24149,29038,23198,31120,42826,32704
2024 2/4,70~74세,429592,6413,6000,8645,11661,13718,16089,19586,18860,16371,16844,23258,22689,13219,13166,19818,26194,20674,11407,16400,17115,21495,16680,22944,28409,21937
2024 2/4,75~79세,328552,5359,4801,6838,9187,10459,12838,14623,15269,13714,12905,17500,18039,10998,10959,13814,18684,15200,8433,12570,13883,17082,13087,17462,19715,15133
2024 2/4,80~84세,233266,4376,3791,5489,7006,7549,9727,10507,11969,10405,10014,13045,13618,8875,8731,8815,12161,10176,5856,9128,9708,12219,8244,10525,12001,9331
2024 2/4,85~89세,116398,2380,1968,3272,3545,3755,4756,4888,5963,4847,4991,6997,6813,4769,4517,4426,6273,4885,2721,4861,4898,5460,4060,5122,5860,4371
2024 2/4,90~94세,38528,831,726,1150,1121,1214,1459,1571,1866,1363,1634,2431,1955,1442,1565,1637,2249,1454,886,1541,1627,1571,1454,1923,2252,1606
2024 2/4,95~99세,9187,219,182,286,230,284,311,363,464,349,381,548,445,340,344,387,580,361,154,326,374,346,402,531,572,408
2024 2/4,100세 이상,1554,43,28,62,44,53,58,57,68,39,69,90,62,63,54,65,87,51,39,69,69,56,66,92,89,81
2024 3/4,합계,9605419,150011,131589,218370,282385,349307,359219,386131,435492,289678,306926,498358,466809,319749,373874,435867,563515,412441,239577,397514,387792,496469,412611,564280,657991,469464
2024 3/4,0~4세,208596,2477,2801,5268,7727,6179,7821,8312,9475,4291,5326,10220,9462,7156,8449,8569,12699,10126,4471,10453,8251,6892,10238,12351,16793,12789
2024 3/4,5~9세,291269,3561,3069,6288,8662,8684,10048,10132,13666,6574,8049,14845,13251,9712,11546,15789,16884,12562,5491,11895,10968,8922,16714,21148,25060,17749
2024 3/4,10~14세,357817,4675,3108,6900,8392,11328,10859,11539,16351,8769,10374,20980,16459,10793,12751,23468,20350,14154,6227,11729,12321,11098,23001,32417,29161,20613
2024 3/4,15~19세,380655,5556,3564,7346,9519,13006,12628,12384,18916,10159,11519,25342,18274,12046,14062,23585,20851,14404,6823,11834,13844,14109,21976,31505,27994,19409
2024 3/4,20~24세,584967,12261,8214,11592,18209,26614,32525,19347,35489,17737,16418,33803,25089,26573,25557,23014,28692,19755,11448,19709,28159,37743,22101,29367,32915,22636
2024 3/4,25~29세,823767,14696,12418,18595,24652,38738,35840,30492,35541,21529,20683,33270,35737,30014,37373,27993,48780,30869,23774,38407,39443,73339,27971,39690,50167,33756
2024 3/4,30~34세,818905,12135,13085,22111,25442,33559,28915,33179,30657,19676,20604,32752,37470,25726,37151,28155,54653,34478,23864,42631,35291,59298,30040,43880,57032,37121
2024 3/4,35~39세,667860,9164,10487,17874,22178,24134,23704,26405,27207,15794,17462,29094,29944,21401,29648,25450,43143,30537,16929,33668,27034,34443,28415,39193,50431,34121
